"","genus","species","mass.Kg","group.size","nocturnal","DPL.km","infant.carry","leap.pct","swing.pct","OC","arboreal","wooded","home.range","monogamy","syllables_max","rhythm_max"
"Alouatta_caraya","Alouatta","caraya",5.375,14.6,FALSE,0.478,1,0,0,76.5,TRUE,TRUE,NA,FALSE,NA,NA
"Alouatta_palliata","Alouatta","palliata",6.2415,13.1,FALSE,0.39,1,0.039,0.0733333333333333,76.5,TRUE,TRUE,0.4,FALSE,3,0.82
"Alouatta_seniculus","Alouatta","seniculus",6.0865,7.9,FALSE,0.55,1,0.0364,0.0594,67.6,TRUE,TRUE,0.55,FALSE,2.2,0.5
"Aotus_trivirgatus","Aotus","trivirgatus",0.7745,2.5,TRUE,0.252,1,0.2,0,67.5,TRUE,TRUE,NA,TRUE,NA,NA
"Ateles_belzebuth","Ateles","belzebuth",8.07,14.5,FALSE,2.3,1,0.017,0.479666666666667,75,TRUE,TRUE,2.3,FALSE,NA,NA
"Ateles_geoffroyi","Ateles","geoffroyi",7.535,42,FALSE,1.68,1,0.0573,0.2885,79.3,TRUE,TRUE,NA,FALSE,NA,NA
"Ateles_paniscus","Ateles","paniscus",8.775,20,FALSE,2.7,1,0.03066,0.355,79.9,TRUE,TRUE,2.7,FALSE,NA,NA
"Cacajao_calvus","Cacajao","calvus",3.165,39,FALSE,3.75,1,0.27,0,70.7,TRUE,TRUE,NA,FALSE,3.4,0.68
"Callicebus_moloch","Callicebus","moloch",0.988,4.5,FALSE,0.62,1,0.2385,0.0015,85.4,TRUE,TRUE,0.6,TRUE,3,0.76
"Callimico_goeldii","Callimico","goeldii",0.4835,6.85,FALSE,2,1,0.5085,0.015,66.9,TRUE,TRUE,NA,TRUE,2,0.86
"Callithrix_pygmaea","Callithrix","pygmaea",0.116,5.5,FALSE,0.29,NA,0.257333333333333,0.001,63.4,TRUE,TRUE,NA,TRUE,2.2,0.86
"Cebus_albifrons","Cebus","albifrons",2.735,25,FALSE,1.85,1,0.2365,0.004,77.9,TRUE,TRUE,1.85,FALSE,NA,NA
"Cebus_apella","Cebus","apella",3.085,7.9,FALSE,2,1,0.126333333333333,0.0216666666666667,74.95,TRUE,TRUE,2,FALSE,NA,NA
"Cebus_capucinus","Cebus","capucinus",3.11,18.15,FALSE,2,1,0.105,0.0246666666666667,70.65,TRUE,TRUE,2,FALSE,2.6,0.9
"Cercocebus_torquatus","Cercocebus","torquatus",7.485,26.85,FALSE,2.333,1,0.067,0,70.1,FALSE,TRUE,NA,FALSE,NA,NA
"Cercopithecus_ascanius","Cercopithecus","ascanius",3.31,15,FALSE,1.59,1,0.171,0,80.2,TRUE,TRUE,1.5,FALSE,NA,NA
"Cercopithecus_campbelli","Cercopithecus","campbelli",3.6,9,FALSE,1.692,1,0.052,0,71,TRUE,TRUE,NA,FALSE,1.4,0.12
"Cercopithecus_mitis","Cercopithecus","mitis",6.03,20.7,FALSE,1.33,1,0.111,0,73.4,TRUE,TRUE,1.2,FALSE,NA,NA
