genus	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	usurps
Tarsius			Tarsiidae			Tarsiiformes	Tarsiiformes	FALSE
Allocebus			Cheirogaleidae	Lemuroidea		Lemuriformes	Strepsirhini	FALSE
Cheirogaleus			Cheirogaleidae	Lemuroidea		Lemuriformes	Strepsirhini	FALSE
Microcebus			Cheirogaleidae	Lemuroidea		Lemuriformes	Strepsirhini	FALSE
Mirza			Cheirogaleidae	Lemuroidea		Lemuriformes	Strepsirhini	FALSE
Phaner			Cheirogaleidae	Lemuroidea		Lemuriformes	Strepsirhini	FALSE
Daubentonia			Daubentoniidae	Lemuroidea		Lemuriformes	Strepsirhini	FALSE
Avahi			Indriidae	Lemuroidea		Lemuriformes	Strepsirhini	FALSE
Indri			Indriidae	Lemuroidea		Lemuriformes	Strepsirhini	FALSE
Propithecus			Indriidae	Lemuroidea		Lemuriformes	Strepsirhini	FALSE
Eulemur		Hapalemurinae	Lemuridae	Lemuroidea		Lemuriformes	Strepsirhini	Lemur
Hapalemur		Hapalemurinae	Lemuridae	Lemuroidea		Lemuriformes	Strepsirhini	FALSE
Lemur		Lemurinae	Lemuridae	Lemuroidea		Lemuriformes	Strepsirhini	FALSE
Varecia		Hapalemurinae	Lemuridae	Lemuroidea		Lemuriformes	Strepsirhini	FALSE
Lepilemur			Lepilemuridae	Lemuroidea		Lemuriformes	Strepsirhini	FALSE
Euoticus			Galagidae	Lorisoidea		Lorisiformes	Strepsirhini	FALSE
Galago			Galagidae	Lorisoidea		Lorisiformes	Strepsirhini	FALSE
Galagoides			Galagidae	Lorisoidea		Lorisiformes	Strepsirhini	Galago
Otolemur			Galagidae	Lorisoidea		Lorisiformes	Strepsirhini	Galago
Arctocebus		Perodicticinae	Lorisidae	Lorisoidea		Lorisiformes	Strepsirhini	FALSE
Loris		Lorisinae	Lorisidae	Lorisoidea		Lorisiformes	Strepsirhini	FALSE
Nycticebus		Lorisinae	Lorisidae	Lorisoidea		Lorisiformes	Strepsirhini	FALSE
Perodicticus		Perodicticinae	Lorisidae	Lorisoidea		Lorisiformes	Strepsirhini	FALSE
